group,home_team,away_team,date,tournament,home_elo,away_elo,elo_diff,home_injury_flag,away_injury_flag,p_home_win,p_draw,p_away_win
J,Argentina,Austria,,FIFA World Cup 2026 - Group,2060,1800,260,0,0,0.683400581,0.163605087,0.152994333
J,Argentina,Algeria,,FIFA World Cup 2026 - Group,2060,1655,405,0,0,0.782820005,0.141119015,0.07606098
J,Argentina,Jordan,,FIFA World Cup 2026 - Group,2060,1480,580,0,0,0.841344264,0.128803715,0.029852021
J,Austria,Algeria,,FIFA World Cup 2026 - Group,1800,1655,145,0,0,0.559625052,0.197491931,0.242883017
J,Austria,Jordan,,FIFA World Cup 2026 - Group,1800,1480,320,0,0,0.731725829,0.152303443,0.115970728
J,Algeria,Jordan,,FIFA World Cup 2026 - Group,1655,1480,175,0,0,0.5957497,0.186697923,0.217552377
K,Portugal,Colombia,,FIFA World Cup 2026 - Group,1975,1790,185,0,0,0.607218467,0.183445027,0.209336506
K,Portugal,Uzbekistan,,FIFA World Cup 2026 - Group,1975,1505,470,0,0,0.81056717,0.135259066,0.054173764
K,Portugal,DR Congo,,FIFA World Cup 2026 - Group,1975,,,0,0,0.36,0.28,0.36
K,Colombia,Uzbekistan,,FIFA World Cup 2026 - Group,1790,1505,285,0,0,0.704869026,0.158481354,0.13664962
K,Colombia,DR Congo,,FIFA World Cup 2026 - Group,1790,,,0,0,0.36,0.28,0.36
K,Uzbekistan,DR Congo,,FIFA World Cup 2026 - Group,1505,,,0,0,0.36,0.28,0.36
L,England,Croatia,,FIFA World Cup 2026 - Group,2005,1855,150,0,0,0.565817915,0.195578648,0.238603436
L,England,Ghana,,FIFA World Cup 2026 - Group,2005,1600,405,0,0,0.782820005,0.141119015,0.07606098
L,England,Panama,,FIFA World Cup 2026 - Group,2005,,,0,0,0.36,0.28,0.36
L,Croatia,Ghana,,FIFA World Cup 2026 - Group,1855,1600,255,0,0,0.678872507,0.164708955,0.156418538
L,Croatia,Panama,,FIFA World Cup 2026 - Group,1855,,,0,0,0.36,0.28,0.36
L,Ghana,Panama,,FIFA World Cup 2026 - Group,1600,,,0,0,0.36,0.28,0.36
